Title,Price,Image URL,Specifications
"Laptop gamingowy ASUS TUF Gaming F16 FX608JHR-RV094W 16"" 165Hz i5-14450HX 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Win11 Szary",4 099.00 zł,"https://f00.esfr.pl/foto/5/191218253681/ac87c66219dfb14263d82db6ec63c457/asus-laptop-asus-f16-i5-16-512-5050-w11,191218253681_7.webp","{'Ekran': '16 "",  1920 x 1200 pikseli 165 Hz', 'Procesor': 'Intel® Core™ i5 14gen 14450HX', 'Pamięć': '16 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5050 + Intel UHD Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop chromebook Lenovo IP Slim 3 Chrome 14M868 14"" Kompanio 520 8GB RAM 128GB Dysk SSD ChromeOS Szary",1 299.00 zł,"https://f00.esfr.pl/foto/5/154390152577/e34b4e876163eed3547567ae338926c8/lenovo-laptop-ips3-chrome-mt8186-8gb-128gb,154390152577_7.webp","{'Ekran': '14 "",  1920 x 1080 pikseli 60 Hz', 'Procesor': 'MediaTek™ Kompanio 520', 'Pamięć': '8 GB   LPDDR4X 3600 RAM', 'Grafika': 'ARM® Mali G-52', 'Dysk': '128 GB SSD', 'System operacyjny': 'Chrome OS'}"
"Laptop gamingowy MSI Katana 17 B13VEK-1449XPL 17,3"" 144Hz i5-13420H 16GB RAM 512GB Dysk SSD RTX4050 Czarny",3 599.00 zł,"https://f00.esfr.pl/foto/5/155996762409/7c03b84cdd9910ebf4040cda7a4e0990/msi-katana-17-b13vek-1449xpl-17-3-144hz-i5-13420h-16gb-ram-512gb-dysk-ssd-rtx4050-czarny,155996762409_7.webp","{'Ekran': '17,3 "",  1920 x 1080 pikseli 144 Hz', 'Procesor': 'Intel® Core™ i5 13gen 13420H', 'Pamięć': '16 GB  DDR5 5200 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 4050 + Intel UHD Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'bez systemu'}"
"Laptop gamingowy Lenovo LOQ 15AHP10 15,6"" 144Hz R7 250 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Win11 Szary Funkcje AI",4 099.00 zł,"https://f00.esfr.pl/foto/3/167445630177/c2e4187a0163779c37938dc46f51f6be/lenovo-laptop-lenovo-loq-r7-16gb-512gb-5050-w11,167445630177_7.webp","{'Ekran': '15,6 "",  1920 x 1080 pikseli 144 Hz', 'Procesor': 'AMD Ryzen™ 7 250', 'Pamięć': '16 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5050 + AMD Radeon™ 780M', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy Lenovo LOQ 15IRX10 15,6"" 144Hz i7-13650HX 16GB RAM 512GB Dysk SSD RTX5060 DLSS4 Win11 Szary Funkcje AI",4 599.00 zł,"https://f00.esfr.pl/foto/5/167445610273/e53034b31104caf269c1712a544e373d/lenovo-loq-15irx10-15-6-144hz-i7-13650hx-16gb-ram-512gb-dysk-ssd-rtx5060-dlss4-win11-szary,167445610273_7.webp","{'Ekran': '15,6 "",  1920 x 1080 pikseli 144 Hz', 'Procesor': 'Intel® Core™ i7 13gen 13650HX', 'Pamięć': '16 GB  DDR5 4800 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5060 + Intel UHD Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Apple MacBook Air 2025 15,3"" M4 16GB RAM 256GB Dysk macOS Północ Funkcje AI",5 499.00 zł,"https://f00.esfr.pl/foto/6/159937914713/wbj3actyq131/apple-laptop-mba-15-m4-10-10-16gb-256gb-m,159937914713_7.webp","{'Ekran': '15,3"",  2880 x 1864 pikseli', 'Procesor': 'Apple M4', 'Pamięć': '16 GB  zunifikowana RAM', 'Grafika': 'Apple  M4 (10-rdzeni)', 'Dysk': '256 GB SSD', 'System operacyjny': 'macOS Sequoia lub nowszy'}"
"Laptop gamingowy Lenovo Legion Pro 5 16IAX10 OLED 16"" 165Hz Ultra 7 255HX 32GB RAM 1TB Dysk SSD RTX5060 DLSS4 Czarny Funkcje AI",6 899.00 zł,"https://f00.esfr.pl/foto/4/187619396089/144499779069ec08dad639de0f5751d7/lenovo-laptop-lp6-u7-32gb-1tb-nos-rtx5060,187619396089_7.webp","{'Ekran': '16 "",  2560 x 1600 pikseli 165 Hz', 'Procesor': 'Intel® Core™ Ultra 7 15gen 255HX', 'Pamięć': '32 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5060 + Intel Graphics', 'Dysk': '1 TB SSD', 'System operacyjny': 'bez systemu'}"
"Apple MacBook Neo 2026 13"" A18 Pro 8GB RAM 256GB Dysk SSD macOS Subtelny róż Funkcje AI",3 199.00 zł,"https://f00.esfr.pl/foto/2/187541439881/436cae94b82fa5a7b0d1755fbbe17ae0/apple-laptop-mbn-13-a18p-6-5-8-256gb-blush,187541439881_7.webp","{'Ekran': '13 "",  2408 x 1506 pikseli 60 Hz', 'Procesor': 'Apple A18 Pro', 'Pamięć': '8 GB  zunifikowana RAM', 'Grafika': 'Apple  A18 Pro (5-rdzeni)', 'Dysk': '256 GB SSD', 'System operacyjny': 'macOS'}"
"Laptop gamingowy MSI Cyborg 15 B13WEKG-628PL 15,6""144Hz i5-13420H 16GB RAM 512GB Dysk SSD RTX5050 DLSS4 Win11 Czarny",3 799.00 zł,"https://f00.esfr.pl/foto/3/176398205449/414676cd1b7f3cec0748846bd2ffa55d/msi-laptop-cyborg-15-i5-16-512gb-5050-w11,176398205449_7.webp","{'Ekran': '15,6 "",  1920 x 1080 pikseli 144 Hz', 'Procesor': 'Intel® Core™ i5 13gen 13420H', 'Pamięć': '16 GB  DDR5 5200 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5050 + Intel UHD Graphics', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
"Laptop gamingowy Lenovo Legion 5 15AHP11 OLED 15,3"" 165Hz R7 250 16GB RAM 512GB Dysk SSD RTX5060 DLSS4 Win11 Czarny Funkcje AI",5 649.00 zł,"https://f00.esfr.pl/foto/9/190521780057/4b68590139ce797cbf3cc8adc1668cbd/lenovo-laptop-l5-15-3-r7-16-512gb-5060-w11,190521780057_7.webp","{'Ekran': '15,3"",  2560 x 1600 pikseli 165 Hz', 'Procesor': 'AMD Ryzen™ 7 250', 'Pamięć': '16 GB  DDR5 5600 Mhz RAM', 'Grafika': 'NVIDIA® GeForce RTX™ 5060 + AMD Radeon™ 780M', 'Dysk': '512 GB SSD', 'System operacyjny': 'Windows 11 Home Edition'}"
